Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Colombia,2020.0,46.0,0.0,36.0,38.0,12.0,134.0,46.0,46.0,177.0,44.0,23.0,2.0,9.0,24.0,14.0,3.0,36.0,0.0,20.0,64.0,23.0,11.0,12.0,1.0,67.0,3.0,1.0
Colombia,2021.0,8.0,0.0,6.0,3.0,2.0,13.0,7.0,11.0,18.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,0.0,1.0
Czech Republic,2015.0,28.0,0.0,21.0,11.0,3.0,41.0,10.0,6.0,45.0,12.0,17.0,0.0,1.0,7.0,3.0,4.0,12.0,0.0,0.0,23.0,16.0,1.0,1.0,0.0,19.0,1.0,2.0
Czech Republic,2016.0,42.0,0.0,37.0,33.0,11.0,75.0,29.0,23.0,90.0,27.0,27.0,0.0,9.0,9.0,9.0,7.0,19.0,1.0,3.0,31.0,18.0,7.0,4.0,0.0,43.0,4.0,2.0
Czech Republic,2017.0,58.0,0.0,30.0,30.0,13.0,111.0,45.0,35.0,143.0,27.0,26.0,0.0,12.0,15.0,7.0,5.0,23.0,0.0,2.0,53.0,16.0,8.0,5.0,0.0,53.0,6.0,2.0
Czech Republic,2018.0,84.0,0.0,36.0,26.0,23.0,166.0,59.0,41.0,218.0,22.0,42.0,1.0,14.0,38.0,9.0,11.0,30.0,0.0,6.0,82.0,26.0,7.0,11.0,4.0,84.0,10.0,2.0
Czech Republic,2019.0,59.0,0.0,38.0,34.0,17.0,135.0,46.0,37.0,169.0,33.0,37.0,3.0,11.0,28.0,11.0,2.0,26.0,0.0,10.0,59.0,23.0,11.0,4.0,0.0,57.0,7.0,0.0
Czech Republic,2020.0,54.0,0.0,45.0,43.0,10.0,170.0,52.0,49.0,195.0,50.0,35.0,2.0,8.0,23.0,13.0,8.0,40.0,0.0,20.0,85.0,27.0,13.0,14.0,1.0,69.0,5.0,1.0
Czech Republic,2021.0,13.0,0.0,9.0,3.0,3.0,30.0,13.0,10.0,39.0,6.0,10.0,1.0,3.0,2.0,5.0,1.0,7.0,0.0,1.0,7.0,7.0,3.0,2.0,1.0,13.0,1.0,1.0
France,2015.0,24.0,0.0,19.0,18.0,3.0,45.0,11.0,6.0,34.0,11.0,15.0,0.0,4.0,5.0,3.0,2.0,9.0,0.0,0.0,22.0,17.0,1.0,2.0,0.0,21.0,4.0,4.0
France,2016.0,46.0,0.0,35.0,34.0,17.0,69.0,30.0,20.0,85.0,24.0,28.0,0.0,12.0,9.0,9.0,7.0,21.0,1.0,3.0,24.0,21.0,4.0,3.0,0.0,43.0,7.0,2.0
France,2017.0,49.0,0.0,33.0,38.0,11.0,96.0,34.0,29.0,105.0,23.0,33.0,0.0,5.0,16.0,5.0,1.0,19.0,0.0,2.0,37.0,15.0,7.0,5.0,0.0,42.0,2.0,2.0
France,2018.0,72.0,0.0,35.0,36.0,17.0,124.0,46.0,37.0,151.0,22.0,33.0,1.0,12.0,26.0,8.0,11.0,26.0,0.0,6.0,54.0,28.0,4.0,11.0,4.0,68.0,7.0,3.0
France,2019.0,45.0,0.0,31.0,34.0,13.0,110.0,37.0,34.0,119.0,25.0,32.0,3.0,8.0,23.0,8.0,1.0,21.0,0.0,10.0,37.0,17.0,12.0,4.0,0.0,39.0,3.0,1.0
France,2020.0,46.0,0.0,35.0,45.0,9.0,149.0,49.0,47.0,181.0,49.0,28.0,2.0,8.0,23.0,13.0,3.0,35.0,0.0,20.0,78.0,25.0,11.0,15.0,1.0,63.0,3.0,2.0
France,2021.0,11.0,0.0,8.0,3.0,3.0,29.0,13.0,10.0,42.0,6.0,9.0,1.0,4.0,1.0,3.0,0.0,7.0,0.0,1.0,9.0,5.0,3.0,2.0,1.0,12.0,3.0,1.0
Germany,2015.0,24.0,0.0,22.0,11.0,6.0,48.0,16.0,7.0,37.0,16.0,16.0,0.0,3.0,6.0,2.0,4.0,12.0,0.0,0.0,17.0,16.0,1.0,1.0,0.0,19.0,1.0,1.0
Germany,2016.0,58.0,0.0,36.0,34.0,15.0,77.0,29.0,23.0,83.0,26.0,27.0,0.0,13.0,7.0,8.0,5.0,21.0,2.0,3.0,25.0,29.0,5.0,5.0,0.0,45.0,5.0,2.0
Germany,2017.0,54.0,0.0,40.0,30.0,8.0,103.0,40.0,29.0,109.0,30.0,31.0,0.0,7.0,18.0,5.0,1.0,25.0,0.0,3.0,45.0,20.0,8.0,5.0,0.0,51.0,5.0,2.0
Germany,2018.0,79.0,0.0,39.0,30.0,16.0,135.0,54.0,39.0,165.0,21.0,39.0,1.0,12.0,25.0,7.0,11.0,24.0,0.0,6.0,57.0,29.0,8.0,11.0,4.0,70.0,7.0,1.0
Germany,2019.0,55.0,0.0,39.0,39.0,14.0,119.0,46.0,32.0,137.0,29.0,39.0,3.0,10.0,25.0,7.0,1.0,24.0,0.0,10.0,42.0,19.0,10.0,3.0,0.0,44.0,4.0,1.0
Germany,2020.0,49.0,0.0,43.0,41.0,11.0,160.0,49.0,46.0,192.0,49.0,26.0,2.0,12.0,27.0,14.0,3.0,41.0,0.0,18.0,78.0,25.0,12.0,12.0,1.0,68.0,3.0,1.0
Germany,2021.0,11.0,0.0,9.0,4.0,3.0,30.0,12.0,10.0,36.0,7.0,9.0,1.0,3.0,2.0,3.0,0.0,9.0,0.0,1.0,8.0,5.0,3.0,2.0,1.0,13.0,1.0,1.0
Greece,2015.0,26.0,0.0,16.0,7.0,4.0,35.0,9.0,4.0,37.0,12.0,15.0,0.0,2.0,7.0,4.0,3.0,9.0,0.0,0.0,16.0,14.0,1.0,2.0,0.0,16.0,1.0,1.0
Greece,2016.0,37.0,0.0,29.0,28.0,12.0,68.0,21.0,23.0,79.0,26.0,25.0,0.0,12.0,5.0,7.0,6.0,17.0,1.0,3.0,26.0,18.0,6.0,3.0,0.0,28.0,6.0,3.0
Greece,2017.0,47.0,0.0,28.0,26.0,8.0,85.0,36.0,27.0,96.0,23.0,25.0,0.0,5.0,14.0,6.0,2.0,17.0,0.0,1.0,40.0,15.0,6.0,4.0,0.0,42.0,3.0,2.0
Greece,2018.0,77.0,0.0,31.0,21.0,15.0,152.0,49.0,41.0,191.0,21.0,37.0,1.0,13.0,35.0,8.0,11.0,26.0,0.0,6.0,74.0,24.0,7.0,11.0,4.0,74.0,8.0,1.0
