Country_Availability,Year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Belgium,2017.0,35.0,22.0,11.0,11.0,75.0,36.0,23.0,88.0,13.0,17.0,6.0,10.0,6.0,2.0,16.0,0.0,0.0,37.0,11.0,4.0,6.0,43.0,4.0,1.0
Belgium,2018.0,59.0,26.0,8.0,20.0,102.0,38.0,28.0,127.0,17.0,22.0,8.0,19.0,3.0,8.0,22.0,0.0,1.0,44.0,16.0,4.0,11.0,62.0,5.0,4.0
Belgium,2019.0,38.0,21.0,11.0,12.0,87.0,23.0,23.0,79.0,22.0,19.0,5.0,18.0,4.0,0.0,16.0,0.0,0.0,29.0,11.0,9.0,3.0,31.0,3.0,0.0
Belgium,2020.0,32.0,26.0,27.0,6.0,102.0,28.0,26.0,110.0,31.0,13.0,2.0,8.0,7.0,1.0,16.0,0.0,1.0,48.0,12.0,10.0,12.0,37.0,1.0,1.0
Belgium,2021.0,10.0,7.0,1.0,2.0,25.0,10.0,4.0,38.0,5.0,8.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,3.0,2.0,10.0,2.0,1.0
Brazil,2015.0,18.0,9.0,1.0,1.0,19.0,5.0,5.0,19.0,4.0,9.0,0.0,5.0,3.0,3.0,4.0,0.0,0.0,12.0,5.0,0.0,2.0,13.0,0.0,1.0
Brazil,2016.0,31.0,21.0,12.0,10.0,45.0,18.0,15.0,54.0,18.0,15.0,7.0,6.0,5.0,1.0,12.0,1.0,0.0,17.0,10.0,3.0,4.0,26.0,6.0,0.0
Brazil,2017.0,35.0,20.0,9.0,11.0,79.0,32.0,24.0,87.0,14.0,15.0,7.0,10.0,5.0,1.0,10.0,0.0,0.0,38.0,8.0,3.0,7.0,39.0,3.0,1.0
Brazil,2018.0,54.0,28.0,9.0,18.0,106.0,36.0,24.0,133.0,15.0,25.0,12.0,17.0,7.0,5.0,17.0,0.0,1.0,49.0,14.0,5.0,10.0,56.0,7.0,3.0
Brazil,2019.0,37.0,15.0,12.0,12.0,84.0,24.0,28.0,82.0,17.0,15.0,3.0,18.0,8.0,2.0,13.0,0.0,0.0,34.0,7.0,7.0,4.0,31.0,1.0,1.0
Brazil,2020.0,32.0,24.0,25.0,5.0,104.0,28.0,26.0,117.0,28.0,12.0,1.0,11.0,8.0,1.0,17.0,0.0,1.0,50.0,11.0,9.0,10.0,43.0,1.0,1.0
Brazil,2021.0,7.0,5.0,1.0,2.0,9.0,5.0,5.0,20.0,2.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,2.0,5.0,0.0,1.0
Canada,2015.0,20.0,10.0,4.0,1.0,19.0,7.0,4.0,22.0,3.0,9.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,12.0,5.0,0.0,3.0,8.0,1.0,1.0
Canada,2016.0,23.0,20.0,13.0,8.0,48.0,20.0,17.0,50.0,16.0,16.0,8.0,3.0,5.0,3.0,10.0,1.0,0.0,17.0,8.0,1.0,3.0,28.0,5.0,1.0
Canada,2017.0,47.0,19.0,6.0,9.0,83.0,38.0,27.0,97.0,13.0,14.0,6.0,6.0,5.0,4.0,13.0,0.0,0.0,35.0,8.0,5.0,7.0,38.0,5.0,1.0
Canada,2018.0,67.0,25.0,9.0,22.0,139.0,47.0,29.0,188.0,17.0,25.0,11.0,34.0,10.0,12.0,26.0,0.0,1.0,64.0,18.0,5.0,14.0,76.0,8.0,2.0
Canada,2019.0,56.0,28.0,18.0,15.0,97.0,29.0,27.0,129.0,29.0,24.0,8.0,20.0,8.0,1.0,20.0,0.0,0.0,37.0,17.0,7.0,3.0,56.0,6.0,1.0
Canada,2020.0,37.0,27.0,31.0,9.0,108.0,33.0,33.0,149.0,37.0,16.0,8.0,19.0,10.0,3.0,21.0,0.0,1.0,60.0,13.0,13.0,14.0,56.0,5.0,2.0
Canada,2021.0,7.0,4.0,1.0,2.0,10.0,6.0,5.0,20.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0,6.0,1.0,0.0
Colombia,2015.0,17.0,8.0,1.0,1.0,15.0,5.0,3.0,19.0,2.0,7.0,0.0,5.0,3.0,3.0,5.0,0.0,0.0,10.0,3.0,0.0,2.0,12.0,1.0,1.0
Colombia,2016.0,28.0,21.0,12.0,10.0,32.0,18.0,15.0,50.0,16.0,14.0,6.0,5.0,4.0,1.0,11.0,1.0,0.0,15.0,8.0,3.0,4.0,26.0,5.0,0.0
Colombia,2017.0,37.0,21.0,9.0,9.0,69.0,34.0,18.0,91.0,13.0,15.0,7.0,11.0,5.0,1.0,13.0,0.0,0.0,42.0,10.0,3.0,5.0,40.0,3.0,1.0
Colombia,2018.0,56.0,27.0,8.0,20.0,89.0,36.0,22.0,138.0,15.0,30.0,12.0,18.0,7.0,9.0,19.0,0.0,1.0,52.0,14.0,5.0,10.0,58.0,7.0,3.0
Colombia,2019.0,38.0,16.0,13.0,12.0,68.0,23.0,26.0,80.0,19.0,17.0,3.0,19.0,8.0,2.0,12.0,0.0,0.0,32.0,10.0,7.0,4.0,32.0,1.0,1.0
Colombia,2020.0,32.0,24.0,25.0,9.0,103.0,30.0,27.0,124.0,29.0,12.0,3.0,11.0,9.0,1.0,16.0,0.0,1.0,50.0,11.0,9.0,11.0,43.0,2.0,1.0
Colombia,2021.0,8.0,5.0,1.0,1.0,9.0,5.0,6.0,17.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,0.0,1.0
Czech Republic,2015.0,22.0,14.0,1.0,2.0,26.0,3.0,6.0,29.0,3.0,11.0,0.0,5.0,2.0,4.0,5.0,0.0,0.0,17.0,9.0,0.0,1.0,14.0,1.0,2.0
Czech Republic,2016.0,28.0,24.0,16.0,9.0,54.0,23.0,17.0,55.0,19.0,15.0,5.0,7.0,7.0,3.0,13.0,1.0,0.0,19.0,7.0,3.0,4.0,39.0,3.0,1.0
Czech Republic,2017.0,38.0,17.0,6.0,10.0,85.0,35.0,25.0,109.0,12.0,13.0,9.0,9.0,5.0,5.0,16.0,0.0,0.0,46.0,8.0,4.0,5.0,41.0,6.0,1.0
Czech Republic,2018.0,68.0,28.0,7.0,23.0,138.0,42.0,28.0,175.0,16.0,28.0,10.0,29.0,7.0,9.0,22.0,0.0,1.0,68.0,13.0,4.0,11.0,69.0,8.0,2.0
Czech Republic,2019.0,44.0,23.0,15.0,13.0,106.0,27.0,28.0,114.0,26.0,21.0,6.0,20.0,7.0,1.0,18.0,0.0,0.0,43.0,14.0,9.0,3.0,42.0,5.0,0.0
Czech Republic,2020.0,39.0,34.0,30.0,7.0,135.0,36.0,29.0,141.0,35.0,23.0,1.0,10.0,8.0,6.0,20.0,0.0,1.0,65.0,15.0,11.0,13.0,45.0,4.0,1.0
Czech Republic,2021.0,13.0,8.0,1.0,2.0,25.0,11.0,5.0,35.0,5.0,9.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,4.0,6.0,3.0,2.0,12.0,1.0,1.0
France,2015.0,18.0,11.0,3.0,2.0,27.0,4.0,6.0,18.0,3.0,8.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,14.0,8.0,0.0,1.0,15.0,4.0,4.0
France,2016.0,26.0,20.0,10.0,14.0,46.0,24.0,13.0,56.0,14.0,12.0,8.0,7.0,6.0,2.0,11.0,1.0,0.0,20.0,6.0,1.0,3.0,36.0,6.0,1.0
France,2017.0,28.0,17.0,9.0,9.0,71.0,25.0,23.0,80.0,9.0,16.0,3.0,10.0,3.0,1.0,13.0,0.0,0.0,33.0,7.0,3.0,5.0,32.0,2.0,1.0
France,2018.0,53.0,24.0,12.0,17.0,98.0,31.0,25.0,111.0,15.0,17.0,8.0,16.0,6.0,8.0,16.0,0.0,1.0,43.0,13.0,1.0,10.0,51.0,5.0,3.0
France,2019.0,29.0,16.0,12.0,9.0,81.0,18.0,25.0,63.0,17.0,14.0,3.0,15.0,4.0,0.0,12.0,0.0,0.0,22.0,7.0,10.0,3.0,24.0,1.0,1.0
France,2020.0,31.0,23.0,28.0,6.0,111.0,31.0,27.0,127.0,32.0,14.0,1.0,10.0,8.0,1.0,15.0,0.0,1.0,58.0,13.0,9.0,14.0,39.0,2.0,2.0
France,2021.0,11.0,7.0,1.0,2.0,24.0,11.0,5.0,40.0,5.0,8.0,4.0,1.0,2.0,0.0,5.0,0.0,0.0,6.0,5.0,3.0,2.0,11.0,3.0,1.0
Germany,2015.0,20.0,17.0,2.0,5.0,32.0,8.0,7.0,23.0,8.0,10.0,2.0,4.0,1.0,4.0,6.0,0.0,0.0,13.0,11.0,0.0,1.0,14.0,1.0,1.0
Germany,2016.0,39.0,25.0,12.0,12.0,48.0,22.0,16.0,50.0,14.0,10.0,8.0,5.0,7.0,1.0,11.0,2.0,0.0,19.0,15.0,2.0,5.0,37.0,4.0,1.0
Germany,2017.0,38.0,27.0,7.0,7.0,81.0,30.0,25.0,87.0,16.0,18.0,7.0,14.0,3.0,1.0,20.0,0.0,0.0,41.0,14.0,4.0,5.0,42.0,5.0,1.0
Germany,2018.0,58.0,29.0,6.0,16.0,109.0,38.0,26.0,126.0,14.0,21.0,8.0,17.0,6.0,8.0,17.0,0.0,1.0,44.0,14.0,5.0,10.0,55.0,5.0,1.0
Germany,2019.0,40.0,24.0,16.0,10.0,91.0,24.0,22.0,81.0,22.0,22.0,5.0,16.0,4.0,1.0,14.0,0.0,0.0,27.0,9.0,8.0,2.0,29.0,2.0,1.0
Germany,2020.0,34.0,29.0,25.0,7.0,120.0,29.0,27.0,134.0,32.0,14.0,5.0,13.0,8.0,1.0,19.0,0.0,1.0,57.0,13.0,9.0,11.0,43.0,2.0,1.0
Germany,2021.0,11.0,8.0,2.0,2.0,25.0,10.0,5.0,34.0,6.0,8.0,3.0,2.0,2.0,0.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,12.0,1.0,1.0
Greece,2015.0,21.0,10.0,0.0,3.0,21.0,3.0,4.0,23.0,3.0,11.0,1.0,5.0,3.0,3.0,3.0,0.0,0.0,11.0,7.0,0.0,2.0,12.0,1.0,1.0
Greece,2016.0,22.0,16.0,11.0,8.0,47.0,16.0,16.0,45.0,17.0,12.0,6.0,3.0,6.0,2.0,11.0,1.0,0.0,14.0,7.0,2.0,3.0,25.0,4.0,2.0
Greece,2017.0,30.0,16.0,4.0,6.0,67.0,28.0,24.0,77.0,10.0,13.0,5.0,8.0,4.0,2.0,11.0,0.0,0.0,36.0,9.0,3.0,4.0,32.0,3.0,1.0
Greece,2018.0,61.0,22.0,2.0,15.0,124.0,33.0,28.0,149.0,14.0,23.0,9.0,26.0,6.0,8.0,18.0,0.0,1.0,61.0,11.0,4.0,11.0,58.0,6.0,1.0
Greece,2019.0,34.0,14.0,10.0,10.0,84.0,22.0,27.0,92.0,21.0,17.0,4.0,19.0,6.0,0.0,16.0,0.0,0.0,31.0,8.0,7.0,3.0,31.0,3.0,0.0
Greece,2020.0,30.0,21.0,26.0,6.0,99.0,25.0,25.0,115.0,29.0,13.0,2.0,8.0,7.0,1.0,13.0,0.0,1.0,52.0,10.0,10.0,12.0,37.0,1.0,2.0
Greece,2021.0,13.0,8.0,1.0,1.0,24.0,11.0,5.0,34.0,5.0,9.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,4.0,5.0,3.0,2.0,12.0,1.0,1.0
Hong Kong,2015.0,32.0,15.0,3.0,2.0,23.0,12.0,4.0,33.0,3.0,13.0,1.0,4.0,2.0,6.0,6.0,0.0,0.0,17.0,8.0,0.0,2.0,24.0,1.0,3.0
Hong Kong,2016.0,33.0,25.0,13.0,8.0,52.0,23.0,14.0,52.0,16.0,17.0,4.0,6.0,9.0,2.0,13.0,1.0,0.0,25.0,11.0,2.0,5.0,33.0,5.0,0.0
Hong Kong,2017.0,32.0,22.0,4.0,10.0,73.0,26.0,22.0,80.0,10.0,14.0,6.0,6.0,3.0,2.0,9.0,0.0,0.0,37.0,11.0,2.0,5.0,32.0,5.0,1.0
Hong Kong,2018.0,58.0,22.0,3.0,18.0,103.0,37.0,25.0,126.0,7.0,18.0,9.0,17.0,8.0,3.0,15.0,0.0,1.0,51.0,10.0,4.0,13.0,53.0,8.0,1.0
Hong Kong,2019.0,38.0,19.0,10.0,10.0,81.0,20.0,24.0,75.0,17.0,20.0,6.0,17.0,4.0,0.0,15.0,0.0,0.0,36.0,12.0,7.0,2.0,29.0,5.0,0.0
Hong Kong,2020.0,26.0,23.0,27.0,7.0,101.0,22.0,25.0,110.0,28.0,11.0,1.0,10.0,7.0,3.0,15.0,0.0,1.0,49.0,10.0,10.0,11.0,33.0,1.0,1.0
Hong Kong,2021.0,9.0,6.0,1.0,1.0,9.0,3.0,4.0,18.0,1.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,0.0,1.0
Hungary,2015.0,22.0,14.0,1.0,2.0,25.0,4.0,6.0,29.0,3.0,11.0,0.0,5.0,2.0,3.0,5.0,0.0,0.0,15.0,8.0,0.0,1.0,14.0,0.0,1.0
Hungary,2016.0,27.0,18.0,12.0,10.0,49.0,23.0,17.0,53.0,15.0,13.0,5.0,5.0,7.0,3.0,11.0,1.0,0.0,16.0,6.0,3.0,4.0,33.0,4.0,1.0
Hungary,2017.0,40.0,16.0,6.0,10.0,84.0,35.0,25.0,109.0,12.0,14.0,8.0,10.0,5.0,5.0,16.0,0.0,0.0,45.0,7.0,4.0,4.0,42.0,6.0,1.0
Hungary,2018.0,68.0,27.0,6.0,22.0,137.0,42.0,28.0,174.0,15.0,29.0,11.0,30.0,7.0,9.0,21.0,0.0,1.0,67.0,13.0,4.0,11.0,70.0,8.0,2.0
Hungary,2019.0,41.0,20.0,14.0,11.0,91.0,22.0,27.0,107.0,23.0,20.0,3.0,23.0,6.0,1.0,21.0,0.0,0.0,35.0,11.0,8.0,3.0,42.0,4.0,0.0
Hungary,2020.0,35.0,28.0,29.0,5.0,113.0,32.0,26.0,132.0,32.0,17.0,3.0,12.0,10.0,3.0,18.0,0.0,1.0,61.0,13.0,9.0,12.0,45.0,2.0,1.0
Hungary,2021.0,12.0,8.0,1.0,1.0,23.0,9.0,5.0,32.0,5.0,9.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,3.0,5.0,3.0,2.0,10.0,1.0,1.0
Iceland,2015.0,14.0,6.0,0.0,1.0,18.0,3.0,6.0,14.0,2.0,5.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,8.0,4.0,0.0,1.0,6.0,1.0,1.0
Iceland,2016.0,24.0,16.0,13.0,7.0,41.0,15.0,16.0,43.0,14.0,9.0,6.0,1.0,7.0,2.0,10.0,1.0,0.0,14.0,6.0,2.0,2.0,23.0,4.0,1.0
Iceland,2017.0,36.0,15.0,5.0,9.0,73.0,30.0,23.0,92.0,11.0,13.0,4.0,9.0,4.0,4.0,15.0,0.0,0.0,41.0,8.0,4.0,5.0,35.0,4.0,1.0
Iceland,2018.0,60.0,21.0,2.0,15.0,124.0,40.0,27.0,157.0,13.0,20.0,9.0,24.0,6.0,9.0,18.0,0.0,1.0,61.0,9.0,5.0,10.0,61.0,6.0,1.0
Iceland,2019.0,36.0,17.0,11.0,8.0,84.0,18.0,26.0,88.0,19.0,15.0,4.0,17.0,5.0,1.0,12.0,0.0,0.0,33.0,9.0,8.0,3.0,28.0,3.0,0.0
Iceland,2020.0,34.0,24.0,27.0,6.0,101.0,24.0,26.0,114.0,34.0,13.0,1.0,9.0,8.0,3.0,16.0,0.0,1.0,50.0,11.0,9.0,12.0,37.0,1.0,1.0
Iceland,2021.0,12.0,8.0,1.0,1.0,23.0,10.0,5.0,34.0,5.0,9.0,3.0,1.0,2.0,0.0,5.0,0.0,0.0,4.0,5.0,3.0,2.0,12.0,1.0,1.0
India,2015.0,21.0,11.0,4.0,3.0,19.0,8.0,4.0,32.0,3.0,6.0,1.0,5.0,2.0,5.0,3.0,0.0,0.0,20.0,8.0,0.0,2.0,17.0,0.0,3.0
India,2016.0,19.0,15.0,13.0,10.0,47.0,19.0,18.0,52.0,18.0,12.0,7.0,4.0,8.0,2.0,14.0,1.0,0.0,17.0,4.0,3.0,3.0,27.0,3.0,1.0
India,2017.0,37.0,16.0,5.0,10.0,80.0,31.0,26.0,94.0,13.0,10.0,7.0,7.0,5.0,6.0,13.0,0.0,0.0,42.0,8.0,4.0,6.0,37.0,4.0,1.0
India,2018.0,65.0,22.0,5.0,17.0,133.0,44.0,30.0,172.0,15.0,23.0,10.0,27.0,7.0,8.0,22.0,0.0,1.0,70.0,13.0,4.0,13.0,74.0,7.0,2.0
India,2019.0,37.0,15.0,9.0,8.0,89.0,19.0,26.0,102.0,20.0,19.0,6.0,20.0,7.0,0.0,14.0,0.0,0.0,38.0,12.0,7.0,3.0,30.0,6.0,0.0
India,2020.0,27.0,23.0,25.0,6.0,98.0,22.0,24.0,114.0,26.0,14.0,1.0,10.0,7.0,3.0,16.0,0.0,1.0,49.0,11.0,9.0,10.0,37.0,1.0,1.0
India,2021.0,8.0,6.0,1.0,1.0,9.0,3.0,4.0,16.0,1.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,2.0,4.0,0.0,1.0
Israel,2015.0,17.0,8.0,1.0,2.0,17.0,5.0,4.0,21.0,2.0,7.0,1.0,3.0,2.0,3.0,4.0,0.0,0.0,9.0,4.0,0.0,1.0,11.0,3.0,2.0
Israel,2016.0,20.0,14.0,11.0,7.0,40.0,14.0,15.0,32.0,13.0,10.0,5.0,2.0,4.0,2.0,7.0,1.0,0.0,15.0,6.0,2.0,3.0,21.0,4.0,0.0
Israel,2017.0,27.0,14.0,5.0,6.0,71.0,29.0,22.0,75.0,8.0,10.0,4.0,8.0,3.0,2.0,12.0,0.0,0.0,33.0,5.0,3.0,6.0,33.0,3.0,1.0
Israel,2018.0,63.0,23.0,6.0,14.0,118.0,38.0,27.0,154.0,15.0,24.0,10.0,23.0,7.0,8.0,18.0,0.0,1.0,62.0,11.0,4.0,9.0,62.0,6.0,2.0
Israel,2019.0,42.0,19.0,12.0,7.0,92.0,24.0,26.0,94.0,22.0,18.0,3.0,20.0,6.0,0.0,17.0,0.0,0.0,35.0,11.0,8.0,3.0,33.0,5.0,0.0
Israel,2020.0,36.0,26.0,26.0,7.0,106.0,26.0,26.0,117.0,31.0,14.0,2.0,13.0,7.0,1.0,17.0,0.0,1.0,55.0,13.0,10.0,12.0,41.0,1.0,1.0
Israel,2021.0,8.0,6.0,1.0,1.0,14.0,4.0,4.0,21.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,0.0,1.0
Italy,2015.0,17.0,13.0,2.0,2.0,21.0,4.0,6.0,23.0,3.0,6.0,1.0,6.0,2.0,3.0,5.0,0.0,0.0,16.0,8.0,0.0,1.0,16.0,1.0,3.0
Italy,2016.0,22.0,19.0,11.0,11.0,47.0,19.0,14.0,50.0,12.0,11.0,5.0,3.0,7.0,1.0,10.0,1.0,0.0,19.0,7.0,2.0,4.0,26.0,6.0,0.0
Italy,2017.0,31.0,17.0,8.0,8.0,89.0,32.0,20.0,81.0,7.0,12.0,5.0,9.0,4.0,1.0,12.0,0.0,0.0,32.0,10.0,4.0,6.0,31.0,5.0,1.0
Italy,2018.0,46.0,21.0,8.0,14.0,107.0,30.0,23.0,109.0,13.0,14.0,7.0,18.0,4.0,3.0,12.0,0.0,1.0,39.0,13.0,4.0,8.0,50.0,6.0,1.0
Italy,2019.0,35.0,20.0,15.0,8.0,80.0,20.0,24.0,78.0,21.0,16.0,3.0,17.0,5.0,0.0,12.0,0.0,0.0,31.0,10.0,8.0,3.0,27.0,3.0,0.0
Italy,2020.0,31.0,25.0,28.0,7.0,114.0,27.0,27.0,118.0,28.0,17.0,2.0,11.0,8.0,3.0,17.0,0.0,1.0,53.0,11.0,10.0,10.0,40.0,1.0,1.0
Italy,2021.0,12.0,8.0,1.0,1.0,25.0,11.0,5.0,34.0,5.0,9.0,3.0,1.0,2.0,0.0,5.0,0.0,0.0,4.0,5.0,3.0,2.0,12.0,1.0,1.0
Japan,2015.0,34.0,17.0,16.0,2.0,49.0,21.0,5.0,81.0,4.0,18.0,4.0,16.0,3.0,6.0,23.0,1.0,0.0,36.0,19.0,0.0,7.0,28.0,2.0,3.0
Japan,2016.0,42.0,22.0,21.0,7.0,71.0,29.0,15.0,77.0,10.0,13.0,4.0,11.0,9.0,4.0,18.0,1.0,1.0,34.0,14.0,6.0,3.0,40.0,3.0,1.0
Japan,2017.0,40.0,21.0,15.0,10.0,74.0,30.0,25.0,95.0,16.0,22.0,10.0,14.0,5.0,2.0,26.0,0.0,0.0,38.0,17.0,5.0,5.0,43.0,5.0,1.0
Japan,2018.0,66.0,33.0,14.0,18.0,112.0,36.0,26.0,137.0,11.0,26.0,8.0,23.0,5.0,4.0,22.0,0.0,1.0,50.0,19.0,5.0,9.0,55.0,6.0,1.0
Japan,2019.0,49.0,17.0,15.0,11.0,85.0,29.0,23.0,102.0,17.0,18.0,4.0,20.0,6.0,0.0,18.0,0.0,0.0,42.0,10.0,6.0,2.0,34.0,2.0,1.0
Japan,2020.0,65.0,36.0,24.0,8.0,104.0,33.0,27.0,157.0,29.0,23.0,3.0,24.0,11.0,3.0,23.0,0.0,1.0,56.0,40.0,10.0,12.0,54.0,4.0,1.0
Japan,2021.0,10.0,5.0,4.0,2.0,12.0,6.0,5.0,32.0,4.0,4.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,5.0,1.0,3.0,11.0,1.0,1.0
Lithuania,2015.0,16.0,8.0,1.0,1.0,20.0,4.0,6.0,15.0,2.0,8.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,9.0,7.0,0.0,1.0,7.0,0.0,2.0
Lithuania,2016.0,20.0,15.0,12.0,7.0,47.0,16.0,17.0,38.0,15.0,12.0,4.0,3.0,8.0,2.0,8.0,1.0,0.0,14.0,7.0,2.0,3.0,21.0,2.0,1.0
Lithuania,2017.0,34.0,15.0,5.0,7.0,79.0,31.0,23.0,90.0,10.0,11.0,3.0,7.0,4.0,4.0,14.0,0.0,0.0,41.0,7.0,4.0,4.0,33.0,4.0,1.0
Lithuania,2018.0,62.0,22.0,4.0,15.0,131.0,37.0,28.0,157.0,13.0,24.0,10.0,27.0,6.0,8.0,18.0,0.0,1.0,63.0,10.0,4.0,11.0,62.0,6.0,2.0
Lithuania,2019.0,37.0,15.0,12.0,8.0,84.0,21.0,25.0,93.0,21.0,17.0,4.0,16.0,5.0,0.0,12.0,0.0,0.0,33.0,6.0,8.0,3.0,30.0,3.0,0.0
Lithuania,2020.0,30.0,25.0,26.0,6.0,102.0,24.0,26.0,110.0,30.0,13.0,2.0,9.0,7.0,2.0,17.0,0.0,1.0,50.0,10.0,10.0,11.0,36.0,1.0,1.0
Lithuania,2021.0,13.0,8.0,1.0,1.0,24.0,11.0,5.0,34.0,5.0,9.0,3.0,1.0,3.0,1.0,5.0,0.0,0.0,4.0,5.0,3.0,2.0,12.0,1.0,1.0
Malaysia,2015.0,20.0,8.0,5.0,1.0,20.0,8.0,1.0,30.0,3.0,10.0,1.0,5.0,2.0,5.0,5.0,0.0,0.0,18.0,6.0,0.0,2.0,17.0,1.0,2.0
Malaysia,2016.0,28.0,19.0,11.0,7.0,37.0,21.0,11.0,45.0,15.0,16.0,5.0,8.0,7.0,2.0,13.0,1.0,0.0,19.0,6.0,3.0,5.0,32.0,4.0,0.0
Malaysia,2017.0,39.0,20.0,4.0,8.0,54.0,25.0,16.0,80.0,12.0,14.0,6.0,4.0,4.0,3.0,7.0,0.0,0.0,35.0,8.0,4.0,4.0,28.0,5.0,1.0
Malaysia,2018.0,59.0,19.0,3.0,16.0,84.0,40.0,22.0,145.0,11.0,17.0,11.0,18.0,6.0,6.0,16.0,0.0,1.0,51.0,12.0,5.0,12.0,65.0,7.0,1.0
