Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Italy,2017,101.0,0.0,65.0,56.0,26.0,230.0,89.0,72.0,240.0,44.0,50.0,0.0,1.0,20.0,37.0,16.0,5.0,47.0,0.0,6.0,79.0,41.0,12.0,14.0,2.0,101.0,11.0,3.0
Italy,2018,134.0,1.0,69.0,78.0,30.0,313.0,92.0,89.0,310.0,51.0,88.0,0.0,4.0,26.0,49.0,19.0,15.0,57.0,2.0,20.0,117.0,66.0,13.0,19.0,6.0,133.0,16.0,3.0
Italy,2019,117.0,0.0,75.0,69.0,31.0,281.0,109.0,88.0,332.0,58.0,72.0,0.0,4.0,23.0,60.0,30.0,8.0,68.0,0.0,19.0,129.0,58.0,25.0,12.0,0.0,124.0,9.0,1.0
Italy,2020,119.0,0.0,84.0,94.0,33.0,330.0,120.0,103.0,444.0,95.0,76.0,0.0,8.0,30.0,66.0,30.0,15.0,83.0,0.0,41.0,180.0,52.0,29.0,26.0,1.0,173.0,13.0,2.0
Italy,2021,16.0,0.0,13.0,7.0,5.0,43.0,18.0,17.0,55.0,9.0,15.0,1.0,2.0,3.0,4.0,4.0,0.0,11.0,0.0,3.0,11.0,7.0,9.0,4.0,1.0,20.0,1.0,1.0
Japan,2015,306.0,0.0,219.0,154.0,49.0,355.0,145.0,42.0,415.0,117.0,161.0,0.0,1.0,26.0,79.0,25.0,22.0,109.0,2.0,1.0,181.0,159.0,9.0,21.0,0.0,218.0,18.0,8.0
Japan,2016,126.0,0.0,77.0,97.0,25.0,191.0,63.0,45.0,239.0,39.0,80.0,0.0,0.0,17.0,45.0,16.0,9.0,50.0,1.0,5.0,76.0,66.0,19.0,10.0,0.0,94.0,10.0,3.0
Japan,2017,142.0,0.0,86.0,128.0,30.0,259.0,93.0,75.0,305.0,52.0,84.0,0.0,1.0,23.0,53.0,19.0,7.0,74.0,0.0,5.0,102.0,65.0,13.0,22.0,3.0,123.0,15.0,2.0
Japan,2018,181.0,2.0,125.0,143.0,31.0,346.0,104.0,90.0,349.0,80.0,150.0,0.0,3.0,30.0,58.0,20.0,13.0,71.0,2.0,19.0,134.0,112.0,14.0,21.0,6.0,145.0,13.0,2.0
Japan,2019,138.0,0.0,75.0,100.0,36.0,299.0,119.0,86.0,379.0,53.0,92.0,0.0,4.0,30.0,69.0,33.0,5.0,82.0,0.0,20.0,156.0,57.0,22.0,15.0,0.0,130.0,7.0,1.0
Japan,2020,189.0,0.0,119.0,134.0,35.0,348.0,146.0,104.0,549.0,94.0,114.0,0.0,8.0,32.0,94.0,33.0,15.0,102.0,0.0,41.0,206.0,111.0,31.0,30.0,1.0,207.0,14.0,8.0
Japan,2021,24.0,0.0,18.0,26.0,6.0,47.0,18.0,16.0,70.0,11.0,15.0,0.0,2.0,4.0,5.0,3.0,0.0,9.0,0.0,3.0,20.0,12.0,6.0,5.0,1.0,20.0,2.0,1.0
Lithuania,2015,184.0,0.0,147.0,115.0,37.0,342.0,104.0,46.0,323.0,134.0,110.0,0.0,1.0,16.0,41.0,20.0,16.0,58.0,1.0,1.0,144.0,95.0,13.0,19.0,0.0,134.0,13.0,7.0
Lithuania,2016,83.0,0.0,58.0,50.0,22.0,153.0,53.0,55.0,169.0,42.0,54.0,0.0,1.0,18.0,26.0,16.0,7.0,36.0,1.0,4.0,60.0,42.0,16.0,7.0,0.0,71.0,7.0,2.0
Lithuania,2017,110.0,0.0,62.0,48.0,25.0,227.0,98.0,82.0,280.0,51.0,49.0,0.0,1.0,18.0,30.0,16.0,11.0,45.0,0.0,7.0,88.0,38.0,12.0,13.0,3.0,107.0,10.0,3.0
Lithuania,2018,154.0,1.0,65.0,63.0,31.0,381.0,108.0,107.0,409.0,53.0,98.0,0.0,4.0,33.0,62.0,24.0,20.0,65.0,2.0,20.0,164.0,56.0,17.0,26.0,6.0,159.0,14.0,3.0
Lithuania,2019,127.0,0.0,70.0,62.0,36.0,314.0,117.0,95.0,411.0,56.0,76.0,0.0,4.0,24.0,66.0,34.0,7.0,68.0,1.0,19.0,158.0,48.0,28.0,15.0,0.0,143.0,10.0,1.0
Lithuania,2020,117.0,0.0,83.0,90.0,32.0,316.0,114.0,102.0,438.0,96.0,73.0,0.0,8.0,31.0,66.0,29.0,14.0,84.0,0.0,41.0,172.0,50.0,31.0,28.0,1.0,168.0,10.0,3.0
Lithuania,2021,18.0,0.0,13.0,8.0,5.0,42.0,18.0,17.0,56.0,9.0,14.0,1.0,2.0,3.0,2.0,5.0,1.0,10.0,0.0,3.0,12.0,8.0,8.0,5.0,1.0,20.0,1.0,1.0
