Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Argentina,2015,250.0,0.0,199.0,148.0,25.0,352.0,114.0,40.0,318.0,163.0,138.0,0.0,1.0,19.0,38.0,25.0,21.0,60.0,1.0,1.0,138.0,122.0,11.0,33.0,0.0,158.0,16.0,9.0
Argentina,2016,93.0,0.0,65.0,46.0,28.0,141.0,58.0,52.0,174.0,43.0,54.0,0.0,1.0,19.0,24.0,14.0,5.0,40.0,1.0,4.0,42.0,40.0,14.0,11.0,0.0,76.0,12.0,2.0
Argentina,2017,113.0,0.0,79.0,56.0,24.0,231.0,109.0,74.0,281.0,52.0,59.0,0.0,1.0,22.0,36.0,19.0,8.0,54.0,0.0,6.0,88.0,46.0,12.0,13.0,2.0,114.0,9.0,3.0
Argentina,2018,161.0,1.0,82.0,81.0,38.0,315.0,116.0,94.0,357.0,61.0,106.0,0.0,3.0,35.0,57.0,21.0,24.0,62.0,2.0,19.0,111.0,73.0,15.0,23.0,6.0,160.0,19.0,4.0
Argentina,2019,121.0,0.0,72.0,64.0,36.0,283.0,114.0,93.0,343.0,53.0,69.0,0.0,4.0,23.0,64.0,35.0,8.0,69.0,0.0,19.0,125.0,54.0,25.0,16.0,0.0,137.0,9.0,2.0
Argentina,2020,118.0,0.0,86.0,90.0,34.0,315.0,126.0,108.0,442.0,94.0,70.0,0.0,8.0,28.0,64.0,31.0,13.0,81.0,0.0,41.0,161.0,53.0,28.0,28.0,1.0,177.0,12.0,3.0
Argentina,2021,15.0,0.0,11.0,7.0,6.0,29.0,15.0,18.0,39.0,5.0,9.0,1.0,2.0,3.0,2.0,2.0,0.0,7.0,0.0,3.0,10.0,5.0,6.0,4.0,1.0,14.0,1.0,1.0
Australia,2015,225.0,0.0,180.0,138.0,38.0,362.0,127.0,44.0,316.0,156.0,122.0,0.0,0.0,27.0,38.0,24.0,20.0,65.0,2.0,1.0,145.0,103.0,13.0,24.0,0.0,153.0,16.0,7.0
Australia,2016,75.0,0.0,50.0,48.0,32.0,158.0,55.0,52.0,194.0,48.0,54.0,0.0,1.0,22.0,25.0,17.0,7.0,36.0,1.0,5.0,59.0,29.0,16.0,12.0,1.0,70.0,11.0,4.0
Australia,2017,118.0,0.0,76.0,54.0,24.0,240.0,102.0,83.0,293.0,56.0,55.0,0.0,1.0,21.0,31.0,16.0,11.0,49.0,0.0,6.0,92.0,43.0,13.0,12.0,3.0,114.0,12.0,5.0
Australia,2018,166.0,1.0,77.0,72.0,40.0,385.0,125.0,107.0,431.0,66.0,98.0,0.0,4.0,40.0,64.0,26.0,23.0,70.0,2.0,21.0,163.0,67.0,18.0,23.0,6.0,184.0,17.0,3.0
Australia,2019,150.0,0.0,83.0,74.0,42.0,326.0,130.0,100.0,439.0,64.0,81.0,0.0,4.0,29.0,73.0,38.0,8.0,78.0,1.0,20.0,171.0,59.0,26.0,15.0,0.0,175.0,14.0,4.0
Australia,2020,139.0,0.0,93.0,105.0,35.0,340.0,148.0,109.0,490.0,108.0,89.0,0.0,8.0,30.0,75.0,33.0,19.0,95.0,0.0,42.0,187.0,56.0,33.0,33.0,1.0,199.0,13.0,9.0
Australia,2021,16.0,0.0,16.0,11.0,5.0,37.0,12.0,15.0,39.0,8.0,12.0,1.0,2.0,2.0,2.0,4.0,2.0,8.0,0.0,3.0,14.0,8.0,6.0,4.0,1.0,13.0,1.0,2.0
Belgium,2015,305.0,0.0,235.0,166.0,38.0,430.0,172.0,43.0,407.0,204.0,165.0,0.0,1.0,28.0,55.0,28.0,22.0,93.0,1.0,1.0,192.0,122.0,13.0,22.0,0.0,234.0,26.0,10.0
Belgium,2016,98.0,0.0,66.0,56.0,30.0,157.0,71.0,48.0,198.0,46.0,56.0,0.0,1.0,19.0,30.0,16.0,8.0,49.0,1.0,4.0,52.0,48.0,15.0,10.0,0.0,99.0,13.0,5.0
Belgium,2017,121.0,0.0,82.0,70.0,28.0,234.0,100.0,74.0,260.0,56.0,66.0,0.0,2.0,17.0,32.0,19.0,8.0,48.0,0.0,6.0,87.0,44.0,12.0,15.0,3.0,112.0,13.0,4.0
Belgium,2018,147.0,1.0,75.0,72.0,39.0,301.0,109.0,92.0,338.0,59.0,95.0,0.0,3.0,30.0,51.0,19.0,20.0,70.0,2.0,19.0,128.0,70.0,14.0,23.0,6.0,162.0,14.0,5.0
Belgium,2019,121.0,0.0,86.0,69.0,39.0,304.0,117.0,95.0,346.0,65.0,77.0,0.0,4.0,26.0,64.0,30.0,8.0,71.0,0.0,18.0,129.0,60.0,26.0,12.0,0.0,133.0,10.0,1.0
Belgium,2020,133.0,0.0,87.0,96.0,33.0,326.0,134.0,102.0,449.0,98.0,73.0,0.0,8.0,27.0,62.0,29.0,13.0,85.0,0.0,40.0,172.0,54.0,29.0,29.0,1.0,180.0,12.0,2.0
Belgium,2021,14.0,0.0,13.0,7.0,6.0,43.0,16.0,17.0,65.0,9.0,14.0,1.0,2.0,4.0,2.0,2.0,0.0,9.0,0.0,3.0,11.0,8.0,8.0,4.0,1.0,17.0,2.0,1.0
Brazil,2015,247.0,0.0,195.0,143.0,21.0,325.0,110.0,34.0,307.0,160.0,137.0,0.0,1.0,15.0,38.0,22.0,21.0,59.0,1.0,2.0,133.0,118.0,11.0,30.0,0.0,159.0,12.0,9.0
Brazil,2016,94.0,0.0,61.0,45.0,29.0,134.0,57.0,50.0,176.0,43.0,54.0,0.0,1.0,20.0,24.0,14.0,5.0,40.0,1.0,4.0,41.0,41.0,14.0,10.0,0.0,74.0,13.0,2.0
Brazil,2017,108.0,0.0,75.0,53.0,27.0,226.0,103.0,75.0,267.0,51.0,55.0,0.0,2.0,22.0,34.0,18.0,6.0,48.0,0.0,7.0,81.0,42.0,12.0,15.0,2.0,110.0,9.0,3.0
Brazil,2018,154.0,1.0,80.0,80.0,36.0,289.0,113.0,91.0,337.0,58.0,99.0,0.0,3.0,34.0,54.0,21.0,18.0,58.0,2.0,19.0,103.0,73.0,14.0,22.0,6.0,152.0,17.0,4.0
Brazil,2019,119.0,0.0,72.0,62.0,38.0,284.0,116.0,100.0,343.0,50.0,67.0,0.0,4.0,24.0,64.0,36.0,8.0,69.0,0.0,22.0,125.0,51.0,25.0,16.0,0.0,136.0,8.0,2.0
Brazil,2020,117.0,0.0,86.0,92.0,30.0,315.0,122.0,105.0,433.0,95.0,70.0,0.0,8.0,26.0,64.0,30.0,14.0,81.0,0.0,41.0,163.0,53.0,28.0,27.0,1.0,175.0,10.0,3.0
Brazil,2021,15.0,0.0,12.0,7.0,7.0,29.0,16.0,16.0,40.0,6.0,10.0,0.0,2.0,5.0,3.0,3.0,0.0,7.0,0.0,3.0,12.0,5.0,6.0,3.0,1.0,15.0,1.0,1.0
Canada,2015,263.0,0.0,196.0,153.0,35.0,403.0,139.0,44.0,341.0,149.0,145.0,0.0,1.0,22.0,43.0,28.0,24.0,67.0,2.0,2.0,149.0,116.0,13.0,26.0,0.0,167.0,20.0,10.0
Canada,2016,86.0,0.0,60.0,51.0,24.0,156.0,61.0,55.0,191.0,45.0,54.0,0.0,2.0,25.0,22.0,16.0,10.0,41.0,1.0,5.0,59.0,42.0,14.0,8.0,1.0,79.0,12.0,3.0
Canada,2017,132.0,0.0,76.0,53.0,27.0,250.0,108.0,84.0,296.0,57.0,54.0,0.0,2.0,21.0,31.0,20.0,11.0,49.0,0.0,8.0,86.0,38.0,15.0,18.0,3.0,119.0,12.0,5.0
Canada,2018,170.0,1.0,78.0,76.0,40.0,372.0,124.0,110.0,426.0,64.0,103.0,0.0,4.0,35.0,74.0,25.0,26.0,70.0,2.0,22.0,133.0,74.0,18.0,29.0,6.0,186.0,17.0,4.0
Canada,2019,167.0,0.0,98.0,79.0,48.0,332.0,138.0,103.0,460.0,71.0,87.0,0.0,4.0,35.0,78.0,40.0,11.0,83.0,1.0,20.0,156.0,67.0,28.0,17.0,0.0,202.0,15.0,4.0
Canada,2020,141.0,0.0,88.0,97.0,37.0,318.0,144.0,117.0,497.0,104.0,77.0,0.0,8.0,34.0,82.0,33.0,15.0,90.0,0.0,34.0,174.0,58.0,34.0,35.0,1.0,212.0,15.0,13.0
Canada,2021,17.0,0.0,10.0,7.0,6.0,32.0,16.0,17.0,47.0,5.0,10.0,1.0,2.0,2.0,3.0,1.0,0.0,9.0,0.0,3.0,13.0,5.0,6.0,4.0,1.0,19.0,1.0,0.0
Colombia,2015,246.0,0.0,195.0,146.0,25.0,320.0,114.0,27.0,317.0,161.0,136.0,0.0,1.0,19.0,38.0,24.0,20.0,60.0,1.0,1.0,136.0,119.0,11.0,33.0,0.0,158.0,16.0,9.0
Colombia,2016,92.0,0.0,64.0,45.0,28.0,112.0,58.0,47.0,173.0,42.0,53.0,0.0,1.0,19.0,24.0,12.0,5.0,40.0,1.0,4.0,41.0,40.0,13.0,11.0,0.0,76.0,12.0,2.0
Colombia,2017,113.0,0.0,79.0,56.0,25.0,192.0,108.0,66.0,281.0,52.0,59.0,0.0,1.0,22.0,36.0,19.0,8.0,53.0,0.0,6.0,89.0,45.0,12.0,13.0,2.0,113.0,9.0,3.0
Colombia,2018,159.0,1.0,81.0,80.0,37.0,255.0,115.0,84.0,353.0,60.0,106.0,0.0,3.0,34.0,56.0,18.0,24.0,62.0,2.0,17.0,110.0,73.0,14.0,23.0,6.0,158.0,18.0,4.0
Colombia,2019,120.0,0.0,72.0,64.0,36.0,242.0,114.0,91.0,339.0,53.0,69.0,0.0,4.0,23.0,64.0,35.0,8.0,68.0,0.0,18.0,123.0,54.0,25.0,16.0,0.0,137.0,8.0,2.0
Colombia,2020,118.0,0.0,86.0,90.0,34.0,314.0,126.0,108.0,441.0,94.0,70.0,0.0,8.0,27.0,64.0,31.0,13.0,81.0,0.0,41.0,161.0,53.0,28.0,28.0,1.0,177.0,12.0,3.0
Colombia,2021,15.0,0.0,11.0,7.0,6.0,29.0,15.0,18.0,39.0,5.0,9.0,1.0,2.0,3.0,2.0,2.0,0.0,7.0,0.0,3.0,10.0,5.0,6.0,4.0,1.0,14.0,1.0,1.0
Czech Republic,2015,275.0,0.0,205.0,120.0,57.0,399.0,147.0,51.0,417.0,152.0,141.0,0.0,1.0,23.0,62.0,24.0,22.0,90.0,1.0,1.0,187.0,128.0,13.0,24.0,0.0,218.0,22.0,9.0
Czech Republic,2016,102.0,0.0,70.0,55.0,26.0,165.0,64.0,54.0,194.0,47.0,59.0,0.0,1.0,18.0,29.0,15.0,8.0,41.0,1.0,4.0,65.0,44.0,17.0,10.0,0.0,93.0,10.0,3.0
Czech Republic,2017,121.0,0.0,71.0,53.0,30.0,246.0,111.0,84.0,314.0,59.0,57.0,0.0,1.0,25.0,35.0,17.0,12.0,52.0,0.0,7.0,96.0,38.0,13.0,14.0,2.0,127.0,12.0,3.0
Czech Republic,2018,167.0,1.0,75.0,69.0,40.0,394.0,121.0,107.0,436.0,60.0,104.0,0.0,4.0,33.0,66.0,25.0,21.0,72.0,2.0,20.0,171.0,64.0,17.0,26.0,6.0,176.0,17.0,3.0
Czech Republic,2019,145.0,0.0,89.0,67.0,46.0,371.0,139.0,102.0,463.0,70.0,90.0,0.0,4.0,31.0,77.0,38.0,9.0,80.0,1.0,20.0,177.0,60.0,29.0,17.0,0.0,172.0,16.0,1.0
Czech Republic,2020,133.0,0.0,102.0,96.0,38.0,365.0,130.0,106.0,493.0,106.0,89.0,0.0,8.0,33.0,74.0,31.0,17.0,94.0,0.0,41.0,193.0,58.0,33.0,30.0,1.0,187.0,16.0,5.0
Czech Republic,2021,18.0,0.0,14.0,8.0,6.0,47.0,19.0,17.0,63.0,9.0,14.0,1.0,2.0,3.0,3.0,6.0,1.0,10.0,0.0,3.0,12.0,11.0,8.0,5.0,1.0,21.0,2.0,1.0
France,2015,262.0,0.0,221.0,176.0,33.0,398.0,138.0,41.0,371.0,180.0,151.0,0.0,1.0,23.0,53.0,23.0,22.0,82.0,1.0,3.0,169.0,128.0,14.0,19.0,1.0,183.0,19.0,12.0
France,2016,93.0,0.0,61.0,59.0,31.0,152.0,61.0,46.0,184.0,43.0,59.0,0.0,1.0,20.0,28.0,16.0,9.0,40.0,1.0,4.0,50.0,42.0,14.0,9.0,0.0,85.0,12.0,3.0
France,2017,112.0,0.0,76.0,68.0,26.0,226.0,88.0,76.0,258.0,48.0,66.0,0.0,2.0,19.0,35.0,17.0,7.0,45.0,0.0,7.0,85.0,44.0,11.0,13.0,3.0,100.0,10.0,3.0
France,2018,140.0,1.0,71.0,79.0,33.0,296.0,90.0,89.0,305.0,57.0,88.0,0.0,3.0,30.0,47.0,21.0,20.0,60.0,2.0,19.0,121.0,68.0,11.0,23.0,6.0,138.0,12.0,5.0
France,2019,106.0,0.0,67.0,65.0,34.0,276.0,106.0,89.0,320.0,52.0,63.0,0.0,4.0,27.0,53.0,29.0,6.0,62.0,0.0,20.0,120.0,49.0,29.0,12.0,0.0,120.0,9.0,2.0
France,2020,126.0,0.0,81.0,100.0,31.0,340.0,132.0,105.0,459.0,99.0,75.0,0.0,8.0,27.0,63.0,30.0,14.0,84.0,0.0,41.0,188.0,52.0,28.0,31.0,1.0,175.0,12.0,4.0
France,2021,15.0,0.0,12.0,7.0,6.0,44.0,19.0,17.0,64.0,9.0,13.0,1.0,2.0,4.0,2.0,4.0,0.0,10.0,0.0,3.0,15.0,7.0,8.0,4.0,1.0,19.0,3.0,1.0
Germany,2015,288.0,0.0,218.0,139.0,62.0,426.0,167.0,49.0,431.0,157.0,153.0,0.0,1.0,32.0,56.0,22.0,16.0,83.0,2.0,3.0,168.0,129.0,13.0,24.0,1.0,219.0,21.0,7.0
Germany,2016,105.0,0.0,64.0,56.0,26.0,155.0,57.0,48.0,169.0,43.0,57.0,0.0,1.0,20.0,25.0,14.0,7.0,39.0,2.0,4.0,44.0,53.0,15.0,7.0,0.0,87.0,12.0,2.0
