Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Belgium,2018.0,18.0,0.0,10.0,23.0,0.0,27.0,17.0,13.0,42.0,7.0,17.0,1.0,4.0,9.0,2.0,3.0,9.0,0.0,5.0,12.0,14.0,3.0,0.0,4.0,17.0,2.0,0.0
Belgium,2019.0,16.0,0.0,15.0,22.0,4.0,30.0,19.0,9.0,57.0,8.0,17.0,3.0,5.0,8.0,4.0,1.0,9.0,0.0,9.0,15.0,10.0,2.0,1.0,0.0,15.0,3.0,0.0
Belgium,2020.0,17.0,0.0,12.0,14.0,3.0,38.0,23.0,19.0,58.0,16.0,13.0,2.0,6.0,13.0,5.0,2.0,20.0,0.0,18.0,20.0,12.0,2.0,1.0,1.0,30.0,1.0,0.0
Belgium,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Brazil,2015.0,6.0,0.0,8.0,11.0,1.0,15.0,5.0,0.0,14.0,9.0,6.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0
Brazil,2016.0,12.0,0.0,11.0,15.0,4.0,19.0,5.0,8.0,28.0,8.0,12.0,0.0,6.0,1.0,1.0,3.0,7.0,0.0,3.0,3.0,10.0,3.0,0.0,0.0,5.0,2.0,1.0
Brazil,2017.0,20.0,0.0,13.0,25.0,1.0,25.0,11.0,4.0,28.0,11.0,13.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,2.0,4.0,10.0,4.0,0.0,0.0,9.0,0.0,1.0
Brazil,2018.0,18.0,0.0,9.0,22.0,0.0,20.0,18.0,14.0,39.0,7.0,13.0,1.0,4.0,9.0,2.0,4.0,6.0,0.0,5.0,6.0,16.0,3.0,2.0,4.0,16.0,2.0,0.0
Brazil,2019.0,15.0,0.0,17.0,20.0,4.0,29.0,20.0,9.0,56.0,8.0,18.0,3.0,5.0,9.0,4.0,1.0,10.0,0.0,10.0,12.0,11.0,2.0,1.0,0.0,16.0,3.0,0.0
Brazil,2020.0,14.0,0.0,12.0,14.0,3.0,31.0,16.0,19.0,54.0,16.0,11.0,2.0,6.0,13.0,5.0,2.0,20.0,0.0,19.0,14.0,12.0,2.0,1.0,1.0,24.0,1.0,0.0
Brazil,2021.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Canada,2015.0,4.0,0.0,7.0,10.0,1.0,17.0,7.0,0.0,13.0,8.0,5.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0
Canada,2016.0,16.0,0.0,11.0,20.0,2.0,23.0,9.0,6.0,39.0,11.0,13.0,1.0,7.0,2.0,3.0,4.0,8.0,0.0,4.0,12.0,9.0,4.0,0.0,0.0,7.0,1.0,1.0
Canada,2017.0,23.0,0.0,16.0,28.0,3.0,30.0,9.0,10.0,37.0,16.0,16.0,0.0,3.0,5.0,3.0,1.0,6.0,0.0,3.0,7.0,9.0,4.0,1.0,0.0,11.0,0.0,1.0
Canada,2018.0,17.0,0.0,9.0,22.0,0.0,24.0,18.0,14.0,38.0,8.0,13.0,1.0,5.0,9.0,1.0,3.0,7.0,0.0,5.0,7.0,15.0,3.0,1.0,4.0,16.0,2.0,0.0
Canada,2019.0,16.0,0.0,17.0,23.0,3.0,29.0,17.0,10.0,54.0,6.0,18.0,3.0,5.0,9.0,4.0,1.0,9.0,0.0,10.0,14.0,10.0,2.0,1.0,0.0,16.0,3.0,0.0
Canada,2020.0,13.0,0.0,12.0,14.0,3.0,34.0,16.0,21.0,51.0,15.0,11.0,2.0,6.0,13.0,5.0,2.0,20.0,0.0,11.0,14.0,13.0,2.0,1.0,1.0,24.0,1.0,0.0
Canada,2021.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Colombia,2015.0,7.0,0.0,8.0,11.0,1.0,14.0,6.0,0.0,13.0,8.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0
Colombia,2016.0,13.0,0.0,12.0,15.0,4.0,19.0,6.0,8.0,29.0,8.0,12.0,0.0,6.0,1.0,1.0,3.0,8.0,0.0,3.0,3.0,10.0,3.0,0.0,0.0,6.0,2.0,1.0
Colombia,2017.0,21.0,0.0,14.0,27.0,1.0,26.0,12.0,6.0,31.0,12.0,14.0,0.0,1.0,5.0,2.0,0.0,6.0,0.0,2.0,6.0,10.0,4.0,0.0,0.0,9.0,0.0,1.0
Colombia,2018.0,18.0,0.0,9.0,22.0,0.0,20.0,18.0,14.0,39.0,7.0,13.0,1.0,4.0,9.0,2.0,4.0,6.0,0.0,5.0,6.0,16.0,3.0,2.0,4.0,16.0,2.0,0.0
Colombia,2019.0,15.0,0.0,17.0,20.0,4.0,27.0,19.0,9.0,55.0,8.0,18.0,3.0,5.0,9.0,4.0,1.0,9.0,0.0,10.0,12.0,11.0,2.0,1.0,0.0,16.0,3.0,0.0
Colombia,2020.0,14.0,0.0,12.0,13.0,3.0,31.0,16.0,19.0,53.0,15.0,11.0,2.0,6.0,13.0,5.0,2.0,20.0,0.0,19.0,14.0,12.0,2.0,1.0,1.0,24.0,1.0,0.0
Colombia,2021.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Czech Republic,2015.0,6.0,0.0,7.0,10.0,1.0,15.0,7.0,0.0,16.0,9.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0
Czech Republic,2016.0,14.0,0.0,13.0,17.0,2.0,21.0,6.0,6.0,35.0,8.0,12.0,0.0,4.0,2.0,2.0,4.0,6.0,0.0,3.0,12.0,11.0,4.0,0.0,0.0,4.0,1.0,1.0
Czech Republic,2017.0,20.0,0.0,13.0,24.0,3.0,26.0,10.0,10.0,34.0,15.0,13.0,0.0,3.0,6.0,2.0,0.0,7.0,0.0,2.0,7.0,8.0,4.0,0.0,0.0,12.0,0.0,1.0
Czech Republic,2018.0,16.0,0.0,8.0,19.0,0.0,28.0,17.0,13.0,43.0,6.0,14.0,1.0,4.0,9.0,2.0,2.0,8.0,0.0,5.0,14.0,13.0,3.0,0.0,4.0,15.0,2.0,0.0
Czech Republic,2019.0,15.0,0.0,15.0,19.0,4.0,29.0,19.0,9.0,55.0,7.0,16.0,3.0,5.0,8.0,4.0,1.0,8.0,0.0,10.0,16.0,9.0,2.0,1.0,0.0,15.0,2.0,0.0
Czech Republic,2020.0,15.0,0.0,11.0,13.0,3.0,35.0,16.0,20.0,54.0,15.0,12.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,20.0,12.0,2.0,1.0,1.0,24.0,1.0,0.0
Czech Republic,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
France,2015.0,6.0,0.0,8.0,15.0,1.0,18.0,7.0,0.0,16.0,8.0,7.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,8.0,9.0,1.0,1.0,0.0,6.0,0.0,0.0
France,2016.0,20.0,0.0,15.0,24.0,3.0,23.0,6.0,7.0,29.0,10.0,16.0,0.0,4.0,2.0,3.0,5.0,10.0,0.0,3.0,4.0,15.0,3.0,0.0,0.0,7.0,1.0,1.0
France,2017.0,21.0,0.0,16.0,29.0,2.0,25.0,9.0,6.0,25.0,14.0,17.0,0.0,2.0,6.0,2.0,0.0,6.0,0.0,2.0,4.0,8.0,4.0,0.0,0.0,10.0,0.0,1.0
France,2018.0,19.0,0.0,11.0,24.0,0.0,26.0,15.0,12.0,40.0,7.0,16.0,1.0,4.0,10.0,2.0,3.0,10.0,0.0,5.0,11.0,15.0,3.0,1.0,4.0,17.0,2.0,0.0
France,2019.0,16.0,0.0,15.0,22.0,4.0,29.0,19.0,9.0,56.0,8.0,18.0,3.0,5.0,8.0,4.0,1.0,9.0,0.0,10.0,15.0,10.0,2.0,1.0,0.0,15.0,2.0,0.0
France,2020.0,15.0,0.0,12.0,17.0,3.0,38.0,18.0,20.0,54.0,17.0,14.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,20.0,12.0,2.0,1.0,1.0,24.0,1.0,0.0
France,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Germany,2015.0,4.0,0.0,5.0,9.0,1.0,16.0,8.0,0.0,14.0,8.0,6.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0
Germany,2016.0,19.0,0.0,11.0,22.0,3.0,29.0,7.0,7.0,33.0,12.0,17.0,0.0,5.0,2.0,1.0,4.0,10.0,0.0,3.0,6.0,14.0,3.0,0.0,0.0,8.0,1.0,1.0
Germany,2017.0,16.0,0.0,13.0,23.0,1.0,22.0,10.0,4.0,22.0,14.0,13.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,3.0,4.0,6.0,4.0,0.0,0.0,9.0,0.0,1.0
Germany,2018.0,21.0,0.0,10.0,24.0,0.0,26.0,16.0,13.0,39.0,7.0,18.0,1.0,4.0,8.0,1.0,3.0,7.0,0.0,5.0,13.0,15.0,3.0,1.0,4.0,15.0,2.0,0.0
Germany,2019.0,15.0,0.0,15.0,23.0,4.0,28.0,22.0,10.0,56.0,7.0,17.0,3.0,5.0,9.0,3.0,0.0,10.0,0.0,10.0,15.0,10.0,2.0,1.0,0.0,15.0,2.0,0.0
Germany,2020.0,15.0,0.0,14.0,16.0,4.0,40.0,20.0,19.0,58.0,17.0,12.0,2.0,7.0,14.0,6.0,2.0,22.0,0.0,17.0,21.0,12.0,3.0,1.0,1.0,25.0,1.0,0.0
Germany,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Greece,2015.0,5.0,0.0,6.0,7.0,1.0,14.0,6.0,0.0,14.0,9.0,4.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0
Greece,2016.0,15.0,0.0,13.0,17.0,4.0,21.0,5.0,7.0,34.0,9.0,13.0,0.0,6.0,2.0,1.0,4.0,6.0,0.0,3.0,12.0,11.0,4.0,0.0,0.0,3.0,2.0,1.0
Greece,2017.0,17.0,0.0,12.0,22.0,2.0,18.0,8.0,3.0,19.0,13.0,12.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,4.0,6.0,3.0,0.0,0.0,10.0,0.0,1.0
Greece,2018.0,16.0,0.0,9.0,19.0,0.0,28.0,16.0,13.0,42.0,7.0,14.0,1.0,4.0,9.0,2.0,3.0,8.0,0.0,5.0,13.0,13.0,3.0,0.0,4.0,16.0,2.0,0.0
Greece,2019.0,15.0,0.0,15.0,18.0,4.0,29.0,20.0,9.0,56.0,7.0,16.0,3.0,5.0,8.0,4.0,1.0,9.0,0.0,10.0,16.0,10.0,2.0,1.0,0.0,15.0,2.0,0.0
Greece,2020.0,15.0,0.0,11.0,13.0,3.0,35.0,16.0,19.0,54.0,15.0,12.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,20.0,12.0,2.0,1.0,1.0,25.0,1.0,0.0
Greece,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Hong Kong,2015.0,7.0,0.0,8.0,11.0,1.0,15.0,6.0,0.0,15.0,8.0,7.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,5.0,7.0,1.0,1.0,0.0,4.0,0.0,0.0
Hong Kong,2016.0,15.0,0.0,14.0,23.0,4.0,23.0,4.0,7.0,33.0,9.0,16.0,0.0,5.0,2.0,2.0,4.0,6.0,0.0,3.0,7.0,15.0,3.0,0.0,0.0,4.0,2.0,1.0
Hong Kong,2017.0,23.0,0.0,14.0,31.0,1.0,25.0,9.0,5.0,22.0,13.0,16.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,1.0,7.0,8.0,4.0,0.0,0.0,9.0,1.0,1.0
Hong Kong,2018.0,15.0,0.0,8.0,20.0,0.0,26.0,16.0,13.0,38.0,6.0,15.0,1.0,4.0,10.0,1.0,2.0,8.0,0.0,5.0,13.0,14.0,3.0,0.0,4.0,13.0,2.0,0.0
Hong Kong,2019.0,17.0,0.0,14.0,24.0,4.0,31.0,19.0,9.0,58.0,9.0,19.0,3.0,5.0,7.0,4.0,1.0,10.0,0.0,10.0,15.0,11.0,2.0,4.0,0.0,15.0,2.0,0.0
Hong Kong,2020.0,16.0,0.0,12.0,13.0,3.0,39.0,18.0,18.0,62.0,18.0,13.0,2.0,7.0,15.0,7.0,2.0,22.0,0.0,20.0,23.0,13.0,2.0,1.0,1.0,29.0,2.0,0.0
Hong Kong,2021.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Hungary,2015.0,6.0,0.0,7.0,10.0,1.0,15.0,7.0,0.0,16.0,9.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0
Hungary,2016.0,14.0,0.0,13.0,17.0,3.0,21.0,6.0,7.0,35.0,8.0,12.0,0.0,5.0,2.0,2.0,4.0,6.0,0.0,3.0,12.0,11.0,4.0,0.0,0.0,4.0,1.0,1.0
Hungary,2017.0,20.0,0.0,13.0,24.0,3.0,26.0,10.0,10.0,34.0,15.0,13.0,0.0,3.0,6.0,2.0,0.0,7.0,0.0,2.0,7.0,8.0,4.0,0.0,0.0,12.0,0.0,1.0
Hungary,2018.0,16.0,0.0,8.0,19.0,0.0,28.0,17.0,13.0,43.0,6.0,14.0,1.0,4.0,9.0,2.0,2.0,8.0,0.0,5.0,14.0,13.0,3.0,0.0,4.0,15.0,2.0,0.0
Hungary,2019.0,15.0,0.0,15.0,19.0,4.0,29.0,19.0,9.0,55.0,7.0,16.0,3.0,5.0,8.0,4.0,1.0,8.0,0.0,10.0,16.0,9.0,2.0,1.0,0.0,15.0,2.0,0.0
Hungary,2020.0,15.0,0.0,11.0,13.0,3.0,35.0,17.0,20.0,55.0,15.0,12.0,2.0,7.0,14.0,5.0,2.0,21.0,0.0,18.0,20.0,12.0,2.0,1.0,1.0,25.0,1.0,0.0
Hungary,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Iceland,2015.0,5.0,0.0,5.0,6.0,1.0,13.0,6.0,0.0,13.0,8.0,3.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0
Iceland,2016.0,16.0,0.0,13.0,18.0,2.0,23.0,7.0,6.0,36.0,9.0,14.0,0.0,4.0,2.0,1.0,4.0,6.0,0.0,3.0,11.0,11.0,4.0,0.0,0.0,5.0,1.0,1.0
Iceland,2017.0,21.0,0.0,14.0,23.0,3.0,28.0,10.0,10.0,35.0,13.0,13.0,0.0,3.0,6.0,2.0,0.0,7.0,0.0,2.0,8.0,7.0,4.0,1.0,0.0,12.0,0.0,1.0
Iceland,2018.0,16.0,0.0,9.0,19.0,0.0,28.0,17.0,13.0,43.0,7.0,14.0,1.0,4.0,9.0,2.0,3.0,8.0,0.0,5.0,13.0,13.0,3.0,0.0,4.0,16.0,2.0,0.0
Iceland,2019.0,14.0,0.0,14.0,18.0,4.0,29.0,20.0,9.0,56.0,7.0,15.0,3.0,5.0,8.0,4.0,1.0,9.0,0.0,10.0,16.0,10.0,2.0,1.0,0.0,14.0,2.0,0.0
Iceland,2020.0,15.0,0.0,11.0,13.0,3.0,35.0,16.0,19.0,54.0,15.0,12.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,20.0,12.0,2.0,1.0,1.0,25.0,1.0,0.0
Iceland,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
India,2015.0,6.0,0.0,7.0,11.0,1.0,18.0,6.0,0.0,15.0,9.0,7.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0
India,2016.0,15.0,0.0,13.0,24.0,4.0,30.0,8.0,6.0,42.0,10.0,16.0,0.0,7.0,4.0,1.0,5.0,8.0,0.0,4.0,14.0,14.0,5.0,0.0,0.0,6.0,2.0,1.0
India,2017.0,23.0,0.0,14.0,29.0,3.0,30.0,11.0,9.0,34.0,13.0,15.0,0.0,3.0,7.0,2.0,0.0,8.0,0.0,1.0,7.0,9.0,5.0,0.0,0.0,11.0,1.0,1.0
India,2018.0,19.0,0.0,9.0,21.0,0.0,30.0,18.0,13.0,45.0,6.0,17.0,1.0,4.0,11.0,1.0,2.0,10.0,0.0,5.0,16.0,14.0,3.0,0.0,4.0,16.0,2.0,0.0
India,2019.0,21.0,0.0,16.0,28.0,4.0,35.0,20.0,10.0,66.0,8.0,23.0,3.0,7.0,8.0,4.0,1.0,10.0,0.0,10.0,21.0,11.0,2.0,4.0,0.0,17.0,2.0,0.0
India,2020.0,15.0,0.0,11.0,15.0,3.0,39.0,17.0,18.0,61.0,18.0,13.0,2.0,7.0,14.0,7.0,2.0,21.0,0.0,18.0,25.0,13.0,2.0,2.0,1.0,24.0,1.0,0.0
India,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Israel,2015.0,5.0,0.0,6.0,9.0,1.0,15.0,7.0,0.0,16.0,9.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0
Israel,2016.0,17.0,0.0,12.0,20.0,4.0,24.0,3.0,7.0,33.0,9.0,16.0,0.0,5.0,1.0,3.0,5.0,6.0,0.0,3.0,10.0,12.0,4.0,0.0,0.0,4.0,2.0,1.0
Israel,2017.0,19.0,0.0,13.0,27.0,2.0,23.0,9.0,3.0,19.0,14.0,13.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,2.0,6.0,8.0,4.0,0.0,0.0,8.0,0.0,1.0
Israel,2018.0,18.0,0.0,9.0,20.0,0.0,31.0,17.0,13.0,43.0,7.0,17.0,1.0,4.0,10.0,1.0,3.0,9.0,0.0,5.0,16.0,14.0,3.0,0.0,4.0,16.0,2.0,0.0
Israel,2019.0,14.0,0.0,14.0,18.0,4.0,30.0,20.0,10.0,58.0,7.0,15.0,3.0,5.0,8.0,4.0,1.0,9.0,0.0,10.0,16.0,10.0,2.0,1.0,0.0,14.0,2.0,0.0
Israel,2020.0,15.0,0.0,11.0,14.0,3.0,38.0,16.0,19.0,59.0,15.0,13.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,24.0,13.0,2.0,1.0,1.0,25.0,1.0,0.0
Israel,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Italy,2015.0,6.0,0.0,7.0,10.0,1.0,16.0,7.0,0.0,12.0,8.0,6.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0
Italy,2016.0,15.0,0.0,12.0,19.0,4.0,22.0,5.0,7.0,29.0,9.0,13.0,0.0,5.0,1.0,2.0,4.0,8.0,0.0,3.0,5.0,10.0,3.0,0.0,0.0,7.0,2.0,1.0
Italy,2017.0,18.0,0.0,13.0,25.0,2.0,21.0,8.0,5.0,19.0,15.0,12.0,0.0,2.0,6.0,2.0,0.0,6.0,0.0,2.0,4.0,7.0,4.0,0.0,0.0,10.0,0.0,1.0
Italy,2018.0,20.0,0.0,9.0,23.0,0.0,25.0,15.0,13.0,36.0,6.0,16.0,1.0,4.0,10.0,2.0,3.0,7.0,0.0,5.0,10.0,14.0,3.0,1.0,4.0,15.0,2.0,0.0
Italy,2019.0,15.0,0.0,15.0,22.0,4.0,28.0,18.0,9.0,55.0,8.0,17.0,3.0,5.0,9.0,4.0,1.0,10.0,0.0,10.0,14.0,10.0,2.0,1.0,0.0,18.0,2.0,0.0
Italy,2020.0,16.0,0.0,12.0,15.0,3.0,36.0,17.0,19.0,57.0,17.0,12.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,21.0,12.0,2.0,1.0,1.0,25.0,1.0,0.0
Italy,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Japan,2015.0,11.0,0.0,12.0,19.0,1.0,28.0,8.0,0.0,23.0,6.0,13.0,0.0,1.0,4.0,1.0,0.0,11.0,0.0,0.0,10.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0
Japan,2016.0,18.0,0.0,17.0,32.0,4.0,28.0,2.0,7.0,39.0,11.0,22.0,0.0,5.0,3.0,2.0,4.0,7.0,0.0,3.0,9.0,18.0,4.0,0.0,0.0,5.0,2.0,1.0
Japan,2017.0,27.0,0.0,16.0,41.0,2.0,33.0,9.0,2.0,34.0,8.0,22.0,0.0,1.0,9.0,3.0,0.0,8.0,0.0,1.0,11.0,10.0,4.0,1.0,0.0,10.0,1.0,0.0
Japan,2018.0,21.0,1.0,10.0,26.0,0.0,32.0,17.0,13.0,40.0,6.0,18.0,1.0,4.0,9.0,1.0,2.0,9.0,0.0,5.0,17.0,17.0,3.0,3.0,4.0,16.0,2.0,0.0
Japan,2019.0,19.0,0.0,17.0,33.0,4.0,37.0,19.0,10.0,63.0,9.0,26.0,3.0,8.0,8.0,4.0,1.0,10.0,0.0,10.0,19.0,13.0,2.0,4.0,0.0,15.0,2.0,0.0
