Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Romania,2015,209.0,0.0,137.0,44.0,42.0,289.0,105.0,42.0,300.0,84.0,93.0,0.0,0.0,14.0,53.0,15.0,13.0,66.0,1.0,0.0,144.0,80.0,5.0,20.0,182.0,19.0,7.0
Romania,2016,60.0,0.0,35.0,17.0,25.0,111.0,48.0,36.0,111.0,24.0,26.0,0.0,0.0,10.0,18.0,11.0,4.0,21.0,1.0,0.0,32.0,11.0,9.0,8.0,65.0,8.0,2.0
Romania,2017,71.0,0.0,34.0,15.0,21.0,153.0,72.0,52.0,200.0,26.0,28.0,0.0,0.0,18.0,25.0,11.0,4.0,31.0,0.0,0.0,61.0,17.0,6.0,13.0,92.0,11.0,1.0
Romania,2018,124.0,0.0,49.0,18.0,31.0,262.0,72.0,66.0,293.0,34.0,53.0,0.0,0.0,20.0,51.0,17.0,16.0,38.0,1.0,3.0,102.0,32.0,11.0,22.0,128.0,9.0,3.0
Romania,2019,102.0,0.0,44.0,22.0,35.0,251.0,71.0,78.0,296.0,41.0,40.0,0.0,0.0,14.0,49.0,26.0,3.0,49.0,1.0,1.0,110.0,23.0,23.0,12.0,112.0,11.0,1.0
Romania,2020,82.0,0.0,56.0,53.0,23.0,228.0,76.0,59.0,328.0,69.0,39.0,0.0,0.0,10.0,45.0,19.0,11.0,40.0,0.0,1.0,127.0,25.0,24.0,21.0,121.0,9.0,3.0
Romania,2021,15.0,0.0,11.0,5.0,4.0,40.0,13.0,11.0,53.0,8.0,12.0,1.0,0.0,4.0,3.0,4.0,1.0,7.0,0.0,0.0,8.0,7.0,6.0,4.0,18.0,2.0,1.0
Russia,2015,133.0,0.0,88.0,39.0,25.0,229.0,72.0,35.0,189.0,59.0,56.0,0.0,0.0,11.0,19.0,11.0,13.0,32.0,1.0,0.0,105.0,49.0,4.0,13.0,93.0,11.0,8.0
Russia,2016,47.0,0.0,29.0,14.0,18.0,91.0,35.0,37.0,100.0,21.0,22.0,0.0,0.0,9.0,10.0,9.0,3.0,19.0,1.0,0.0,30.0,10.0,7.0,6.0,49.0,8.0,2.0
Russia,2017,71.0,0.0,29.0,13.0,17.0,159.0,64.0,51.0,189.0,24.0,23.0,0.0,0.0,12.0,20.0,12.0,8.0,24.0,0.0,0.0,61.0,14.0,6.0,13.0,74.0,11.0,1.0
Russia,2018,116.0,0.0,44.0,18.0,27.0,264.0,66.0,68.0,281.0,32.0,49.0,0.0,0.0,23.0,45.0,17.0,16.0,35.0,1.0,3.0,100.0,26.0,11.0,20.0,119.0,9.0,1.0
Russia,2019,89.0,0.0,32.0,20.0,26.0,229.0,59.0,69.0,253.0,33.0,32.0,0.0,0.0,12.0,43.0,25.0,3.0,41.0,1.0,1.0,104.0,21.0,23.0,10.0,91.0,7.0,1.0
